"Position","Name","Salary","GameInfo","AvgPointsPerGame","teamAbbrev"
"WR","Nelson Agholor",4500,"Phi@Was 01:00PM ET",3.800,"Phi"
"RB","Matt Jones",4500,"Phi@Was 01:00PM ET",12.400,"Was"
"TE","Jason Witten",4400,"Dal@NO 08:30PM ET",19.300,"Dal"
"WR","Stevie Johnson",4400,"Cle@SD 04:05PM ET",17.850,"SD"
"WR","Mike Wallace",4400,"Min@Den 04:25PM ET",9.550,"Min"
"RB","Doug Martin",4400,"Car@TB 01:00PM ET",8.600,"TB"
"WR","Rishard Matthews",4400,"NYJ@Mia 09:30AM ET",16.950,"Mia"
"RB","T.J. Yeldon",4400,"JAC@Ind 01:00PM ET",10.500,"JAC"
"RB","Tevin Coleman",4400,"Hou@Atl 01:00PM ET",8.600,"Atl"
"RB","Shane Vereen",4300,"NYG@Buf 01:00PM ET",9.933,"NYG"
"RB","Todd Gurley",4300,"StL@Ari 04:25PM ET",0,"StL"
"RB","Rashad Jennings",4200,"NYG@Buf 01:00PM ET",8.100,"NYG"
"WR","Kenny Britt",4200,"StL@Ari 04:25PM ET",9.050,"StL"
"WR","Doug Baldwin",4200,"Det@Sea 08:30PM ET",16.350,"Sea"
"RB","David Johnson",4200,"StL@Ari 04:25PM ET",15.000,"Ari"
"RB","Alfred Morris",4100,"Phi@Was 01:00PM ET",8.733,"Was"
"RB","Ameer Abdullah",4100,"Det@Sea 08:30PM ET",11.100,"Det"
"RB","Isaiah Crowell",4100,"Cle@SD 04:05PM ET",9.250,"Cle"
"WR","Roddy White",4000,"Hou@Atl 01:00PM ET",6.200,"Atl"
"RB","Tre Mason",4000,"StL@Ari 04:25PM ET",5.000,"StL"
"RB","C.J. Spiller",3900,"Dal@NO 08:30PM ET",3.600,"NO"
"RB","Alfred Blue",3900,"Hou@Atl 01:00PM ET",3.950,"Hou"
"WR","Allen Hurns",3900,"JAC@Ind 01:00PM ET",10.400,"JAC"
"RB","Reggie Bush",3800,"GB@SF 04:25PM ET",0.800,"SF"
"RB","James Starks",3800,"GB@SF 04:25PM ET",6.900,"GB"
"RB","Ryan Mathews",3800,"Phi@Was 01:00PM ET",5.900,"Phi"
"WR","Marvin Jones",3800,"KC@Cin 01:00PM ET",8.500,"Cin"
"DST","Seahawks ",3700,"Det@Sea 08:30PM ET",11.500,"Sea"
"TE","Heath Miller",3700,"Bal@Pit 08:25PM ET",13.950,"Pit"
"WR","Eddie Royal",3700,"Oak@Chi 01:00PM ET",6.450,"Chi"
"WR","Malcom Floyd",3700,"Cle@SD 04:05PM ET",8.700,"SD"
"WR","Leonard Hankerson",3700,"Hou@Atl 01:00PM ET",11.650,"Atl"
"RB","Bilal Powell",3700,"NYJ@Mia 09:30AM ET",9.600,"NYJ"
"WR","Tavon Austin",3700,"StL@Ari 04:25PM ET",10.550,"StL"
"WR","Darrius Heyward-Bey",3600,"Bal@Pit 08:25PM ET",13.750,"Pit"
"RB","Darren McFadden",3600,"Dal@NO 08:30PM ET",5.850,"Dal"
"WR","Charles Johnson",3600,"Min@Den 04:25PM ET",4.350,"Min"
"WR","Jermaine Kearse",3600,"Det@Sea 08:30PM ET",7.800,"Sea"
"RB","Lance Dunbar",3600,"Dal@NO 08:30PM ET",11.650,"Dal"
"RB","Charles Sims",3600,"Car@TB 01:00PM ET",6.850,"TB"
"RB","Joique Bell",3600,"Det@Sea 08:30PM ET",4.950,"Det"
"WR","Nate Washington",3500,"Hou@Atl 01:00PM ET",14.400,"Hou"
"WR","Markus Wheaton",3500,"Bal@Pit 08:25PM ET",9.600,"Pit"
"RB","Chris Thompson",3500,"Phi@Was 01:00PM ET",8.567,"Was"
"TE","Crockett Gillmore",3500,"Bal@Pit 08:25PM ET",15.050,"Bal"
"WR","Cecil Shorts III",3500,"Hou@Atl 01:00PM ET",9.550,"Hou"
"WR","Tyler Lockett",3500,"Det@Sea 08:30PM ET",8.550,"Sea"
"TE","Eric Ebron",3500,"Det@Sea 08:30PM ET",15.300,"Det"
"DST","Cardinals ",3400,"StL@Ari 04:25PM ET",11.500,"Ari"
"WR","Ted Ginn Jr.",3400,"Car@TB 01:00PM ET",10.750,"Car"
"TE","Jordan Cameron",3400,"NYJ@Mia 09:30AM ET",10.250,"Mia"
"RB","Benny Cunningham",3400,"StL@Ari 04:25PM ET",11.450,"StL"
"RB","Karlos Williams",3400,"NYG@Buf 01:00PM ET",11.600,"Buf"
"DST","Broncos ",3300,"Min@Den 04:25PM ET",19.000,"Den"
"DST","Panthers ",3300,"Car@TB 01:00PM ET",12.500,"Car"
"WR","Dwayne Bowe",3300,"Cle@SD 04:05PM ET",0.000,"Cle"
"WR","Kamar Aiken",3300,"Bal@Pit 08:25PM ET",6.900,"Bal"
"TE","Charles Clay",3300,"NYG@Buf 01:00PM ET",9.600,"Buf"
